system:index,Algae_Tao,Dien_Tich_Nuoc_km2,NDTI_DoDuc,Nam,Thang,Tinh,.geo
0_0_000000000000000000cd,-0.1286771621221465,117.30118602922798,-0.16260786958762039,2020,1.0,Binh Dinh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000ce,0.09199908150417872,195.64359657794114,-0.08260735288124074,2020,1.0,Cao Bang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000cf,-0.052362497301334084,62.021423010232866,-0.14437931733799012,2020,1.0,Khanh Hoa,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000d0,0.10526043850615784,46.08036409129901,-0.07638687688207564,2020,1.0,Lang Son,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000d1,-0.11982941535261524,127.28824762591915,-0.16170483808849787,2020,1.0,Phu Yen,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000d2,0.011764556587804289,117.22566208854165,-0.11446486882789281,2020,1.0,Quang Binh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000d3,-0.030096137943855517,32.08390082843139,-0.22726875532090782,2020,1.0,Quang Ngai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000d4,0.06588495925122123,57.58146571213236,-0.15394927175804832,2020,1.0,Quang Tri,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000d5,0.03388166632709128,97.26458398627449,-0.17060550358954085,2020,1.0,Thua Thien - Hue,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000d6,-0.04117969900686859,165.68560255134815,-0.16734432426008444,2020,1.0,Ba Ria-Vung Tau,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000d7,-0.12877369290631951,52.40319859779412,-0.23472894892287696,2020,1.0,Binh Thuan,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000d8,-0.1550855817736287,340.94477952518383,-0.259988096684061,2020,1.0,Dong Nai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000d9,-0.20596839780898338,98.3705048120711,-0.2467088225803203,2020,1.0,Gia Lai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000da,0.08102414186537234,497.2003750045955,-0.07352088449713655,2020,1.0,Ha Giang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000db,-0.002219636776387903,25.137114036090686,-0.07306715253572407,2020,1.0,Ha Noi City,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000dc,0.09088338169809293,150.03192593921565,-0.05942062947221064,2020,1.0,Ha Tay,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000dd,0.07360377350216278,264.15614150165436,-0.07491236894295121,2020,1.0,Ha Tinh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000de,0.0456683774406909,76.52406673419118,-0.15651283301413724,2020,1.0,Hoa Binh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000df,-0.13881157059338706,60.15490268664217,-0.391201008199553,2020,1.0,Kon Tum,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000e0,0.10885881626880463,312.66863343768375,-0.06459151881468522,2020,1.0,Nghe An,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000e1,0.03455603179420999,115.79164836574758,-0.04736802350409309,2020,1.0,Ninh Binh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000e2,-0.11180166893211398,45.382129001470595,-0.07033922230459776,2020,1.0,Ninh Thuan,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000e3,-0.18054450939120198,176.4543835346814,0.011691629223781108,2020,1.0,Soc Trang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000e4,-0.22092133404202835,159.53025823039215,-0.033444882961910304,2020,1.0,Tra Vinh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000e5,0.09703091985400386,217.4281463329044,-0.07733846308502557,2020,1.0,Tuyen Quang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000e6,-0.34592766715232626,77.42622860251227,-0.08017055962686352,2020,1.0,Vinh Long,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000e7,0.024735352387242303,262.9425391770833,-0.056633271148427394,2020,1.0,Yen Bai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000e8,0.13032761461356435,130.82887867450978,-0.09082467715756341,2020,1.0,Bac Kan,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000e9,0.007921309335576405,17.320926137009803,-0.1128447245745129,2020,1.0,Bac Giang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000ea,0.06535950456236905,266.73460218486514,0.02054844529692213,2020,1.0,Bac Lieu,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000eb,0.05497760923471341,5.660300974509804,-0.06021384490186714,2020,1.0,Bac Ninh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000ec,-0.1922059381863618,40.233101705330874,-0.2642295648207961,2020,1.0,Binh Duong,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000ed,-0.17395862181061755,110.49067615238971,-0.24017359272585137,2020,1.0,Binh Phuoc,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000ee,0.09345066536302563,459.63690586703433,-0.03988043506667974,2020,1.0,Ca Mau,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000ef,0.011735589795853507,10.150907748223043,-0.20162066250239152,2020,1.0,Da Nang City,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000f0,0.06860395280332433,51.51197099687499,-0.06524314005110768,2020,1.0,Ha Nam,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000f1,0.04262662766925683,130.1372656416054,-0.027381061384304187,2020,1.0,Hai Duong,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000f2,0.023659831787602663,22.51748711973039,-0.07324226042762362,2020,1.0,Hung Yen,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000f3,0.013699238534062737,236.27694054889696,-0.015451989044870374,2020,1.0,Nam Dinh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000f4,-0.044226695160571226,86.07713410471816,-0.0389578431533156,2020,1.0,Phu Tho,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000f5,0.03188056883309605,110.47207119154407,-0.23809585152548354,2020,1.0,Quang Nam,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000f6,0.1028794595964412,13.42950286464461,-0.061520416493734784,2020,1.0,Thai Nguyen,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000f7,-0.014681833272806834,11.74426025122549,-0.002315796966837284,2020,1.0,Vinh Phuc,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000f8,-0.3241252585187867,34.760828096691185,-0.11589781730340093,2020,1.0,Can Tho city,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000f9,-0.19112142374144844,82.78653403835786,-0.17694607113376254,2020,1.0,Dak Lak,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000fa,-0.0888180464405104,40.07898613272059,-0.3175795880590019,2020,1.0,Dak Nong,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000fb,0.03333578727710783,12.662226203737742,-0.19201743984444503,2020,1.0,Dien Bien,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000fc,-0.4511122651765493,7.945368279718138,-0.08046865280523718,2020,1.0,Hau Giang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000fd,0.06213892406066432,61.87476731421569,-0.1632225368465126,2020,1.0,Lai Chau,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000fe,0.07624049032954841,361.0109556985907,-0.06315986280271,2020,1.0,Lao Cai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000bf,-0.22364142916108432,79.99339525851714,-0.11134328291154907,2020,1.0,An Giang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000c0,-0.22929728162180724,236.07656289571082,-0.03437487470748002,2020,1.0,Ben Tre,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000c1,-0.3065729730427243,123.55055774871319,-0.13282284447732196,2020,1.0,Dong Thap,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000c2,0.05502871273859199,181.20654658927705,-0.058562581311882425,2020,1.0,Hai Phong City,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000c3,-0.07465130248155735,156.64786234705875,-0.06243648343690414,2020,1.0,Ho Chi Minh City,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000c4,0.06995918111925259,125.93646627199756,-0.08659360269108506,2020,1.0,Kien Giang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000c5,-0.15383278989640203,52.89644278468136,-0.33384105099489664,2020,1.0,Lam Dong,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000c6,-0.14592769773362432,38.162750483578435,-0.04229268318457129,2020,1.0,Long An,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000c7,0.11931449246356833,320.37561216011005,-0.14313920238526423,2020,1.0,Quang Ninh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000c8,0.01064294608259866,237.7687894768995,-0.13486081800348923,2020,1.0,Son La,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000000000000000000c9,-0.26971105374098864,143.55915993339462,-0.24846905533914654,2020,1.0,Tay Ninh,"{""type"":""MultiPoint"",""coordinates"":[]}"
