system:index,Algae_Tao,Dien_Tich_Nuoc_km2,NDTI_DoDuc,Nam,Thang,Tinh,.geo
0_0_0,-0.04423531641528769,205.92986153051467,-0.09621986775306104,2020,1.0,An Giang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,0.019492835601593338,22.98122711151961,-0.09990236387379905,2020,1.0,Bac Ninh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,0.0831303419768698,726.3849747781252,-0.01768012642124786,2020,1.0,Ca Mau,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,-0.21316900625738325,219.16153926666678,-0.01191958715073538,2020,1.0,Can Tho,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,0.09199908150417874,195.64359657794117,-0.08260735288124074,2020,1.0,Cao Bang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,0.030181726919484852,120.62297893976715,-0.23501987017029022,2020,1.0,Da Nang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,-0.14789298379555857,210.07478166427703,-0.16770443602923465,2020,1.0,Dak Lak,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,0.03333578727710783,12.662226203737742,-0.19201743984444503,2020,1.0,Dien Bien,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,-0.15971373114692966,451.4354556775736,-0.2551290764151097,2020,1.0,Dong Nai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,-0.2859323019224271,240.48273386421576,-0.08071880851565355,2020,1.0,Dong Thap,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,-0.16391167600805354,215.67169084129904,-0.20094670800450892,2020,1.0,Gia Lai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,0.0775021403704526,175.16903997530633,-0.06138197746487681,2020,1.0,Ha Noi,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,0.07360377350216274,264.15614150165436,-0.0749123689429512,2020,1.0,Ha Tinh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_13,0.04984248614787016,311.35748725435036,-0.04552479094068048,2020,1.0,Hai Phong,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_14,-0.07247457736221478,362.5742286153799,-0.13276926130110892,2020,1.0,Ho Chi Minh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_15,0.060359605275129916,343.3012407996323,-0.017839269285818516,2020,1.0,Hung Yen,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_16,-0.07743917206326666,107.40450575919122,-0.11314210719700293,2020,1.0,Khanh Hoa,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_17,0.06213892406066433,61.87476731421569,-0.1632225368465127,2020,1.0,Lai Chau,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_18,-0.12685305542779846,145.4072429572917,-0.2937100460998966,2020,1.0,Lam Dong,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_19,0.10526043850615785,46.08036409129901,-0.07638687688207565,2020,1.0,Lang Son,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_20,0.05458903736926844,623.9562079901348,-0.060416386586759706,2020,1.0,Lao Cai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_21,0.10885881626880466,312.6686334376837,-0.06459151881468525,2020,1.0,Nghe An,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_22,0.026697285021328808,403.61718512892145,-0.030975938552944907,2020,1.0,Ninh Binh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_23,-0.0028845353122591306,174.34819228419119,-0.08794198832477748,2020,1.0,Phu Tho,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_24,-0.10089814513937262,92.2435119974265,-0.3340527252334838,2020,1.0,Quang Ngai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_25,0.11931449246356833,320.37561216011005,-0.14313920238526404,2020,1.0,Quang Ninh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_26,0.029556849491420584,174.80899147610296,-0.1274444046970567,2020,1.0,Quang Tri,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_27,0.010642946082598656,237.76878947689963,-0.13486081800348923,2020,1.0,Son La,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_28,-0.24377655355330594,181.72191041697312,-0.20527196216920154,2020,1.0,Tay Ninh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_29,0.12778286175554912,144.25838153915439,-0.0881078424184059,2020,1.0,Thai Nguyen,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_30,0.06006470773775821,188.92088253921565,-0.0782665664391646,2020,1.0,Thanh Hoa,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_31,0.03388166632709127,97.26458398627456,-0.1706055035895407,2020,1.0,Thua Thien Hue,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_32,0.08588300861712955,714.6357354884805,-0.07467964000705887,2020,1.0,Tuyen Quang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_33,-0.2456056494430634,473.1299420079043,-0.04156679118072075,2020,1.0,Vinh Long,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,-0.06741815798876624,267.5682666934436,-0.07726891680143892,2020,2.0,An Giang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,0.08333381104091035,375.9617383006128,-0.0230649431377706,2020,2.0,Bac Ninh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,0.034780719452755335,696.6333327075982,4.71305134494752E-4,2020,2.0,Ca Mau,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,-0.20233900992022577,211.94379814601726,2.743578534533549E-4,2020,2.0,Can Tho,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,0.16577294947739948,81.46688699234069,-0.05550072939726738,2020,2.0,Cao Bang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,-0.010374474185828243,101.80942597549019,-0.21452609064484088,2020,2.0,Da Nang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,-0.1340769144152919,169.28512084283096,-0.16751451839558706,2020,2.0,Dak Lak,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,0.16631934379996471,58.29692647169118,-0.08455616727405402,2020,2.0,Dien Bien,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_8,-0.20043812883138898,425.1661084360908,-0.2583676918996783,2020,2.0,Dong Nai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_9,-0.30088540421009113,249.62318773553926,-0.06927061786010068,2020,2.0,Dong Thap,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_10,-0.15643412978386062,189.31852203143387,-0.18332014138408442,2020,2.0,Gia Lai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_11,0.07637619077772949,651.7108510629291,-0.02717466356513742,2020,2.0,Ha Noi,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_12,0.08463399242525955,239.33102615386034,-0.12722661121236453,2020,2.0,Ha Tinh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_13,0.09714973142974347,448.0757912520216,-0.03106869810692724,2020,2.0,Hai Phong,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_14,-0.11393618574021477,336.04502944601717,-0.10397674023003532,2020,2.0,Ho Chi Minh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_15,0.11033708407399062,512.3506784450368,0.011063113958186658,2020,2.0,Hung Yen,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_16,-0.08100245019862237,95.20464197671566,-0.10754114448956309,2020,2.0,Khanh Hoa,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_17,0.14639462200480036,238.70123025723035,-0.08280710558929019,2020,2.0,Lai Chau,"{""type"":""MultiPoint"",""coordinates"":[]}"
